Yıl,Ay,Gün,Tutar,Açıklama
2021,9,16,900,kutu
2021,9,17,100,sarf
2021,9,22,50,reklam
2021,9,22,120,sarf
2021,10,5,150,kutu
2021,10,5,1300,kutu
2021,10,8,50,demirbaş
2021,10,25,100,reklam
2021,10,26,122.75,fatura
2021,10,26,750,muhasebe
2021,10,26,150,lojistik
2021,10,27,306,reklam
